keyword_id,target_customer_type,country_or_region,city,keyword_pattern,example_search_query,search_intent,keyword_intent_type,priority_level,keyword_status,used_recently,last_used_at,next_allowed_at,cooldown_days,blocked_reason,manual_review_required,discovery_quality_score,contactability_score,total_runs,total_leads_collected,ready_to_contact_count,contact_found_count,duplicate_count,news_only_count,no_contact_count,relevance_ratio,notes,last_updated,change_note
KW-0013,Restaurant Fit-Out Company,Australia,Australia,restaurant fit out company [country],restaurant fit out company Australia,Find Australian restaurant fit-out company leads with public contact paths,Supplier / Partner Finding,High,Testing,Yes,2026-05-22T11:14:06.912111,2026-06-05T11:14:06.912111,14,,No,3,4,2,1,1,1,0,0,0,1,"Useful, but this limited run stopped early because results overlapped with commercial kitchen/design queries.",2026/5/8 18:38,Australia batch BATCH-AU-20260508-183856: keyword processed and usage fields updated.
KW-0014,Hospitality Interior Design,Australia,Australia,hospitality interior design [country],hospitality interior design Australia,Find Australian hospitality interior design leads with public contact paths,Supplier / Partner Finding,High,Testing,Yes,2026-05-22T11:14:06.905116,2026-06-05T11:14:06.905116,14,,No,4,4,2,2,2,2,0,0,0,1,Good contactability via official studio contact pages and supplier/collaboration emails.,2026/5/8 18:38,Australia batch BATCH-AU-20260508-183856: keyword processed and usage fields updated.
KW-0015,Commercial Kitchen Project Company,Australia,Australia,commercial kitchen fit out [country],commercial kitchen fit out Australia,Find Australian commercial kitchen project company leads with public contact paths,Supplier / Partner Finding,High,Testing,Yes,2026-05-22T11:14:06.909312,2026-06-05T11:14:06.909312,14,,No,4,4,2,2,2,2,0,0,0,1,High contactability; yielded clear email and phone from official pages.,2026/5/8 18:38,Australia batch BATCH-AU-20260508-183856: keyword processed and usage fields updated.
KW-0016,Restaurant Fit-Out Company,Australia,Sydney,restaurant fit out company Sydney,restaurant fit out company Sydney,Find Australian restaurant fit-out company with official forms and KP signals,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.633556,2026-06-08T16:33:42.633556,14,,No,1.2,4.0,2,5,4,4,0,0,0,1.00,High form hit rate; good KP/team-page yield.,2026-05-09 15:50,Australia follow-up BATCH-AU-FOLLOWUP-20260509-155054: city keyword processed.
KW-0017,Restaurant Fit-Out Company,Australia,Melbourne,restaurant fit out company Melbourne,restaurant fit out company Melbourne,Find Australian restaurant fit-out company with official forms and KP signals,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.591356,2026-06-08T16:33:42.591356,14,,No,1.2,4.0,2,5,4,4,0,0,0,1.00,Very strong form yield; KP names often partial only.,2026-05-09 15:50,Australia follow-up BATCH-AU-FOLLOWUP-20260509-155054: city keyword processed.
KW-0018,Hospitality Interior Design,Australia,Brisbane,hospitality interior design Brisbane,hospitality interior design Brisbane,Find Australian hospitality interior design with official forms and KP signals,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.643455,2026-06-08T16:33:42.643455,14,,No,0.5,2.5,2,2,1,1,0,0,0,1.00,Low volume but excellent direct key contact result.,2026-05-09 15:50,Australia follow-up BATCH-AU-FOLLOWUP-20260509-155054: city keyword processed.
KW-0019,Restaurant Design Company,Australia,Melbourne,restaurant design company Melbourne,restaurant design company Melbourne,Find Australian restaurant design company with official forms and KP signals,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:35:36.850440,2026-06-08T16:35:36.850440,14,,No,1.0,3.8,2,4,3,3,0,0,0,1.00,Good for direct design principals and project forms.,2026-05-09 15:50,Australia follow-up BATCH-AU-FOLLOWUP-20260509-155054: city keyword processed.
KW-0020,Commercial Kitchen Project Company,Australia,Sydney/Melbourne,commercial kitchen fit out Sydney Melbourne,commercial kitchen fit out Sydney Melbourne,Find Australian commercial kitchen project company with official forms and KP signals,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.623647,2026-06-08T16:33:42.623647,14,,No,1.0,3.8,2,4,3,3,0,0,0,1.00,"Strong direct email/form yield, limited named KP.",2026-05-09 15:50,Australia follow-up BATCH-AU-FOLLOWUP-20260509-155054: city keyword processed.
KW-0021,Hospitality Interior Design,Australia,Sydney,hospitality interior design Sydney contact director,hospitality interior design Sydney contact director,20-candidate form/KP test for Australia hospitality leads,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:35:36.859502,2026-06-08T16:35:36.859502,14,,No,1.5,4.2,2,6,5,5,0,0,0,1.00,High KP yield from official home/about/team pages.,2026-05-09 16:14,Australia 20-candidate KP/form test BATCH-AU-KPFORM-20260509-161421: keyword processed.
KW-0022,Commercial Kitchen Project Company,Australia,Sydney/Melbourne,commercial kitchen fit out Sydney Melbourne quote enquiry,commercial kitchen fit out Sydney Melbourne quote enquiry,20-candidate form/KP test for Australia hospitality leads,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:35:36.827107,2026-06-08T16:35:36.827107,14,,No,1.2,4.0,2,5,4,4,0,0,0,1.00,"Excellent form/phone yield, weaker named KP yield.",2026-05-09 16:14,Australia 20-candidate KP/form test BATCH-AU-KPFORM-20260509-161421: keyword processed.
KW-0023,Restaurant Fit-Out Company,Australia,Canberra,restaurant fit out Canberra contact quote,restaurant fit out Canberra contact quote,20-candidate form/KP test for Australia hospitality leads,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.654947,2026-06-08T16:33:42.654947,14,,No,0.8,3.3,2,3,2,2,0,0,0,1.00,Strong form yield and one direct named mailbox.,2026-05-09 16:14,Australia 20-candidate KP/form test BATCH-AU-KPFORM-20260509-161421: keyword processed.
KW-0024,Hospitality Interior Design,Australia,Canberra/Queensland,hospitality interior design Canberra Gold Coast contact director,hospitality interior design Canberra Gold Coast contact director,20-candidate form/KP test for Australia hospitality leads,Supplier / Partner Finding,High,Testing,Yes,2026-05-25T16:33:42.677257,2026-06-08T16:33:42.677257,14,,No,1.2,4.0,2,5,4,4,0,0,0,1.00,Good KP yield across official pages and FAQs.,2026-05-09 16:14,Australia 20-candidate KP/form test BATCH-AU-KPFORM-20260509-161421: keyword processed.
KW-0025,Hotel Procurement,Australia,Australia,hotel procurement Australia FF&E contact,hotel procurement Australia FF&E contact,20-candidate form/KP test for Australia hospitality leads,Contact Finding,High,Paused,Yes,2026-05-25T16:35:36.889711,2026-06-08T16:35:36.889711,14,,No,1.5,4.2,2,6,5,5,0,0,0,1.00,Strong procurement/form yield; KP requires deeper official/API or manual platform review.,2026-05-09 16:14,Australia 20-candidate KP/form test BATCH-AU-KPFORM-20260509-161421: keyword processed.
KW-0026,Restaurant Group,Australia,Australia,restaurant group Australia contact head office,restaurant group Australia contact head office,Restaurant/hotel final-customer form collection and KP test,Discovery,High,Testing,Yes,2026-06-02 12:14,2026-06-08T16:33:42.602597,14,,No,2.2,4.4,2,9,8,8,0,0,0,1.00,Restaurant group contact forms are easy; KP varies by official team transparency.,2026-05-09 17:05,Restaurant/hotel form test BATCH-AU-RHFORM-20260509-170543: keyword processed.
KW-0027,Hotel Group,Australia,Australia,hotel group Australia contact official,hotel group Australia contact official,Restaurant/hotel final-customer form collection and KP test,Contact Finding,High,Testing,Yes,2026-06-02 12:14,2026-06-08T16:35:36.903269,14,,No,1.5,4.2,2,6,5,5,0,0,0,1.00,"Hotel groups expose forms and central emails, but procurement/F&B KP is difficult.",2026-05-09 17:05,Restaurant/hotel form test BATCH-AU-RHFORM-20260509-170543: keyword processed.
KW-0028,Hotel F&B Manager,Australia,Australia,hotel F&B manager Australia contact,hotel F&B manager Australia contact,Restaurant/hotel final-customer form collection and KP test,Decision Maker Finding,High,Testing,Yes,2026-05-25T16:33:42.612307,2026-06-08T16:33:42.612307,14,,No,0.8,3.3,2,3,2,2,0,0,0,1.00,Accor Table For gives named F&B roles; most hotel groups hide names.,2026-05-09 17:05,Restaurant/hotel form test BATCH-AU-RHFORM-20260509-170543: keyword processed.
KW-0029,Event Venue with F&B Spaces,Australia,Australia,hospitality group Australia supplier events contact,hospitality group Australia supplier events contact,Restaurant/hotel final-customer form collection and KP test,Contact Finding,High,Testing,Yes,2026-06-02 12:14,2026-06-08T16:35:36.815643,14,,No,1.0,3.8,2,4,3,3,0,0,0,1.00,Events/function pages expose useful routes but often not buying authority.,2026-05-09 17:05,Restaurant/hotel form test BATCH-AU-RHFORM-20260509-170543: keyword processed.
KW-0030,Multi-location Restaurant,Australia,Australia,multi location restaurant Australia contact head office,multi location restaurant Australia contact head office,Restaurant/hotel final-customer form collection and KP test,Discovery,High,Testing,Yes,2026-05-25T16:33:42.665414,2026-06-08T16:33:42.665414,14,,No,0.8,3.3,2,3,2,2,0,0,0,1.00,Multi-location restaurant groups have strong company contact but weak KP.,2026-05-09 17:05,Restaurant/hotel form test BATCH-AU-RHFORM-20260509-170543: keyword processed.
KW-0031,Restaurant Group,Australia,Australia,restaurant group Australia official contact expansion,restaurant group Australia official contact expansion,Restaurant/hotel final-customer sample expansion,Discovery,High,Testing,Yes,2026-06-02 12:14,2026-06-08T16:35:36.873843,14,,No,3.2,4.6,2,13,12,12,0,0,0,1.00,Used to add restaurant group final-customer sample leads for toolization threshold.,2026-05-11 16:00,BATCH-AU-RHSAMPLE-20260511-160000: keyword created for user-authorized AU restaurant/hotel sample expansion.
KW-0032,Hotel Group,Australia,Australia,hotel group Australia official contact expansion,hotel group Australia official contact expansion,Restaurant/hotel final-customer sample expansion,Contact Finding,High,Testing,Yes,2026-06-02 12:14,2026-06-08T16:33:42.580423,14,,No,1.2,4.0,2,5,4,4,0,0,0,1.00,Used to add hotel group final-customer sample leads for toolization threshold.,2026-05-11 16:00,BATCH-AU-RHSAMPLE-20260511-160000: keyword created for user-authorized AU restaurant/hotel sample expansion.
KW-0033,Hospitality Venue Group,Australia,Australia,hospitality venue group Australia official contact expansion,hospitality venue group Australia official contact expansion,Restaurant/hotel final-customer sample expansion,Discovery,High,Testing,Yes,2026-05-25T16:35:36.839456,2026-06-08T16:35:36.839456,14,,No,2.2,4.4,2,9,8,8,0,0,0,1.00,Used to add hospitality venue group sample leads for toolization threshold.,2026-05-11 16:00,BATCH-AU-RHSAMPLE-20260511-160000: keyword created for user-authorized AU restaurant/hotel sample expansion.
KW-0034,Multi-location Restaurant,Australia,Australia,Australia multi venue restaurant group official contact,Australia multi venue restaurant group official contact,Tavily discovery experiment for new AU final-customer candidates,Discovery,High,Testing,Yes,2026-06-02 11:43,2026-05-27,14,,No,,,0,0,0,0,0,0,0,,Experiment keyword for comparing Tavily-only and Tavily-plus-Scrapling workflows.,2026-05-13 14:45,Tavily discovery experiment keyword added; no source lead rows written yet.
KW-0035,Hospitality Venue Group,Australia,Australia,Australia hospitality group restaurants bars venues official,Australia hospitality group restaurants bars venues official,Tavily discovery experiment for hospitality venue groups,Discovery,High,Testing,Yes,2026-06-02 11:43,2026-05-27,14,,No,,,0,0,0,0,0,0,0,,Experiment keyword for comparing Tavily-only and Tavily-plus-Scrapling workflows.,2026-05-13 14:45,Tavily discovery experiment keyword added; no source lead rows written yet.
KW-0036,Hotel Group,Australia,Australia,Australia hotel group dining restaurants official contact,Australia hotel group dining restaurants official contact,Tavily discovery experiment for hotel dining/F&B targets,Discovery,High,Testing,Yes,2026-06-02 11:43,2026-05-27,14,,No,,,0,0,0,0,0,0,0,,Experiment keyword for comparing Tavily-only and Tavily-plus-Scrapling workflows.,2026-05-13 14:45,Tavily discovery experiment keyword added; no source lead rows written yet.
KW-0037,Restaurant Group,Australia,Australia,Sydney Melbourne restaurant group expansion official contact,Sydney Melbourne restaurant group expansion official contact,Tavily discovery experiment for restaurant expansion signals,Discovery,High,Testing,Yes,2026-06-01 16:52,2026-05-27,14,,No,,,0,0,0,0,0,0,0,,Experiment keyword for comparing Tavily-only and Tavily-plus-Scrapling workflows.,2026-05-13 14:45,Tavily discovery experiment keyword added; no source lead rows written yet.
KW-0038,Hotel F&B Operator,Australia,Australia,Australia boutique hotel group food beverage contact,Australia boutique hotel group food beverage contact,Tavily discovery experiment for boutique hotel F&B targets,Discovery,High,Testing,Yes,2026-06-01 16:52,2026-05-27,14,,No,,,0,0,0,0,0,0,0,,Experiment keyword for comparing Tavily-only and Tavily-plus-Scrapling workflows.,2026-05-13 14:45,Tavily discovery experiment keyword added; no source lead rows written yet.
KW-0039,restaurant group,Sydney,,restaurant group owner Sydney,,"Generator: template=T2, risk=medium",Discovery,high,Testing,Yes,2026-06-02 14:20,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0040,restaurant group,Melbourne,,restaurant group owner Melbourne,,"Generator: template=T2, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:01,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0041,restaurant group,Brisbane,,restaurant group owner Brisbane,,"Generator: template=T2, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:01,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0042,restaurant group,Perth,,restaurant group owner Perth,,"Generator: template=T2, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:01,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0043,restaurant group,Adelaide,,restaurant group owner Adelaide,,"Generator: template=T2, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:01,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0044,restaurant group,Sydney,,"""owner"" ""restaurant group"" Sydney",,"Generator: template=T4, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:23,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0045,restaurant group,Melbourne,,"""owner"" ""restaurant group"" Melbourne",,"Generator: template=T4, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:23,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0046,restaurant group,Brisbane,,"""owner"" ""restaurant group"" Brisbane",,"Generator: template=T4, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:23,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0047,restaurant group,Perth,,"""owner"" ""restaurant group"" Perth",,"Generator: template=T4, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:23,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0048,restaurant group,Adelaide,,"""owner"" ""restaurant group"" Adelaide",,"Generator: template=T4, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:23,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0049,restaurant group,Sydney,,site:.com.au restaurant group contact Sydney,,"Generator: template=T5, risk=medium",Discovery,medium,Testing,Yes,2026-06-01 15:10,,14,,,,,0,0,0,0,,,,,,,
KW-0050,restaurant group,Melbourne,,site:.com.au restaurant group contact Melbourne,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0051,restaurant group,Brisbane,,site:.com.au restaurant group contact Brisbane,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0052,restaurant group,Perth,,site:.com.au restaurant group contact Perth,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0053,restaurant group,Adelaide,,site:.com.au restaurant group contact Adelaide,,"Generator: template=T5, risk=medium",Discovery,medium,New,,,,14,,,,,0,0,0,0,,,,,,,
KW-0054,restaurant group,Sydney,,owner restaurant group Sydney email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0055,restaurant group,Melbourne,,owner restaurant group Melbourne email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0056,restaurant group,Brisbane,,owner restaurant group Brisbane email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0057,restaurant group,Perth,,owner restaurant group Perth email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0058,restaurant group,Adelaide,,owner restaurant group Adelaide email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0059,restaurant group,Sydney,,restaurant group Sydney supplier contact,,"Generator: template=T11, risk=low",Discovery,high,Testing,Yes,2026-05-25 18:19,,14,,,,,0,0,0,0,,,,,,,
KW-0060,restaurant group,Melbourne,,restaurant group Melbourne supplier contact,,"Generator: template=T11, risk=low",Discovery,high,Testing,Yes,2026-05-25 18:19,,14,,,,,0,0,0,0,,,,,,,
KW-0061,restaurant group,Brisbane,,restaurant group Brisbane supplier contact,,"Generator: template=T11, risk=low",Discovery,high,Testing,Yes,2026-05-25 18:19,,14,,,,,0,0,0,0,,,,,,,
KW-0062,restaurant group,Perth,,restaurant group Perth supplier contact,,"Generator: template=T11, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:35,,14,,,,,0,0,0,0,,,,,,,
KW-0063,restaurant group,Adelaide,,restaurant group Adelaide supplier contact,,"Generator: template=T11, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:35,,14,,,,,0,0,0,0,,,,,,,
KW-0064,restaurant group,Sydney,,restaurant group Sydney procurement team,,"Generator: template=T12, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:35,,14,,,,,0,0,0,0,,,,,,,
KW-0065,restaurant group,Melbourne,,restaurant group Melbourne procurement team,,"Generator: template=T12, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:40,,14,,,,,0,0,0,0,,,,,,,
KW-0066,restaurant group,Brisbane,,restaurant group Brisbane procurement team,,"Generator: template=T12, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:40,,14,,,,,0,0,0,0,,,,,,,
KW-0067,restaurant group,Perth,,restaurant group Perth procurement team,,"Generator: template=T12, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:40,,14,,,,,0,0,0,0,,,,,,,
KW-0068,restaurant group,Adelaide,,restaurant group Adelaide procurement team,,"Generator: template=T12, risk=low",Discovery,high,Testing,Yes,2026-05-28 14:40,,14,,,,,0,0,0,0,,,,,,,
KW-0069,hotel group,Australia,,hotel group Australia contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:19,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0070,hotel group,Sydney,,hotel group Sydney contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:19,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0071,hotel group,Melbourne,,hotel group Melbourne contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-28 14:43,,14,,,,,0,0,0,0,,,,,,,Approved for Run 10 keyword discovery batch
KW-0072,hotel group,Australia,,owner hotel group Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0073,hotel group,Sydney,,owner hotel group Sydney email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0074,hotel group,Melbourne,,owner hotel group Melbourne email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 16:59,,14,,,,,0,0,0,0,,,,,,,
KW-0075,pub group,Australia,,pub group Australia contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-06-02 14:20,,14,,,,,0,0,0,0,,,,,,,
KW-0076,pub group,Sydney,,pub group Sydney contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:10,,14,,,,,0,0,0,0,,,,,,,
KW-0077,pub group,Melbourne,,pub group Melbourne contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-06-02 12:10,,14,,,,,0,0,0,0,,,,,,,
KW-0078,pub group,Australia,,owner pub group Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-02 15:00,,14,,,,,1,0,0,0,,,,,,,
KW-0079,pub group,Sydney,,owner pub group Sydney email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-02 15:00,,14,,,,,1,0,0,0,,,,,,,
KW-0080,pub group,Melbourne,,owner pub group Melbourne email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-02 15:00,,14,,,,,1,0,0,0,,,,,,,
KW-0081,catering company,Australia,,catering company Australia contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-30 11:22,,14,,,,,0,0,0,0,,,,,,,
KW-0082,catering company,Sydney,,catering company Sydney contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-30 11:22,,14,,,,,0,0,0,0,,,,,,,
KW-0083,catering company,Melbourne,,catering company Melbourne contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-28 14:51,,14,,,,,0,0,0,0,,,,,,,
KW-0084,catering company,Australia,,owner catering company Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0085,catering company,Sydney,,owner catering company Sydney email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0086,catering company,Melbourne,,owner catering company Melbourne email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0087,event venue,Australia,,event venue Australia contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-30 11:22,,14,,,,,0,0,0,0,,,,,,,
KW-0088,event venue,Sydney,,event venue Sydney contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-30 11:22,,14,,,,,0,0,0,0,,,,,,,
KW-0089,event venue,Melbourne,,event venue Melbourne contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-28 14:51,,14,,,,,0,0,0,0,,,,,,,
KW-0090,event venue,Australia,,owner event venue Australia email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0091,event venue,Sydney,,owner event venue Sydney email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0092,event venue,Melbourne,,owner event venue Melbourne email OR phone OR contact,,"Generator: template=T9, risk=medium",Discovery,high,Testing,Yes,2026-06-01 17:09,,14,,,,,0,0,0,0,,,,,,,
KW-0093,hotel procurement manager,Australia,,hotel procurement manager Australia contact,,"Generator: template=T1, risk=medium",Discovery,high,Testing,Yes,2026-05-28 14:57,,14,,,,,0,0,0,0,,,,,,,
